Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-12-11 11:31:59.089 -0600,"Failure",0:00:00,1,0,0,"20171211_113159.089/LogFile.txt","","SenseTalk Compiler Exception -- in day3_master_script:\nSyntax Error at line 3: Syntax Error - can't understand ""/"" at or near character 39",0
2017-12-11 11:32:20.796 -0600,"Success",0:00:00,0,0,0,"20171211_113220.796/LogFile.txt","","",1
