Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Master,Failure,17,4,2017-12-04 08:56:58 -0600,2017-12-04 13:53:20 -0600,0:00:13
Importing files,Success,2,0,2017-12-11 09:45:28 -0600,2017-12-11 10:01:02 -0600,0:00:00
Cordinates,Success,2,0,2017-12-05 10:34:23 -0600,2017-12-05 10:47:20 -0600,0:00:00
Untitled,Success,3,0,2017-12-15 09:36:54 -0600,2017-12-15 09:38:07 -0600,0:00:00
Yahooooo,Success,8,2,2017-12-04 15:17:13 -0600,2017-12-05 09:00:56 -0600,0:00:00
Test script 2,Success,6,1,2017-12-11 11:34:54 -0600,2017-12-11 13:01:11 -0600,0:00:59
HL7,Success,6,0,2017-12-14 10:07:27 -0600,2017-12-14 11:38:40 -0600,0:00:04
CSV and encoding,Success,16,5,2017-12-14 15:20:50 -0600,2017-12-15 09:15:42 -0600,0:00:00
